"parent_model_code","line_no","component_model_code","quantity","unit_price","component_kind","set_head"
"AF80F25D28BRS","1","AF80F25D28BN","1.00","2600000.00","INDOOR","True"
"AF80F25D28BRS","2","AF80F25D2PBX","1.00","1733000.00","OUTDOOR","False"
"AF80F25D28BRS","3","AR80F06D2A1Q","1.00","399000.00","ACCESSORY","False"
"AF80F25D28BRS","4","AFR-TC9F","1.00","34000.00","REMOTE","False"
"AF80F25D28BRS","5","ARR-PK8F","1.00","34000.00","REMOTE","False"
"AF80F25D28BS","1","AF80F25D28BN","1.00","2650000.00","INDOOR","True"
"AF80F25D28BS","2","AF80F25D2PBX","1.00","1766000.00","OUTDOOR","False"
"AF80F25D28BS","3","AFR-TC9F","1.00","34000.00","REMOTE","False"
"AF80F25D29WRS","1","AF80F25D29WN","1.00","2774000.00","INDOOR","True"
"AF80F25D29WRS","2","AF80F25D2PBX","1.00","1849000.00","OUTDOOR","False"
"AF80F25D29WRS","3","AR80F06D2A1Q","1.00","399000.00","ACCESSORY","False"
"AF80F25D29WRS","4","AFR-TC9F","1.00","34000.00","REMOTE","False"
"AF80F25D29WRS","5","ARR-PK8F","1.00","34000.00","REMOTE","False"
"AF80F25D29WS","1","AF80F25D29WN","1.00","2824000.00","INDOOR","True"
"AF80F25D29WS","2","AF80F25D2PBX","1.00","1882000.00","OUTDOOR","False"
"AF80F25D29WS","3","AFR-TC9F","1.00","34000.00","REMOTE","False"
"AF90H17D24GRS","1","AF90H17D24GN","1.00","1334000.00","INDOOR","True"
"AF90H17D24GRS","2","AF90H17D0QBX","1.00","889000.00","OUTDOOR","False"
"AF90H17D24GRS","3","AR70H06D1A1Q","1.00","287000.00","ACCESSORY","False"
"AF90H17D24GS","1","AF90H17D24GN","1.00","1332000.00","INDOOR","True"
"AF90H17D24GS","2","AF90H17D0QBX","1.00","888000.00","OUTDOOR","False"
"AF90H17D24SRS","1","AF90H17D24SN","1.00","1334000.00","INDOOR","True"
"AF90H17D24SRS","2","AF90H17D0QBX","1.00","889000.00","OUTDOOR","False"
"AF90H17D24SRS","3","AR70H06D1A1Q","1.00","287000.00","ACCESSORY","False"
"AF90H17D24SS","1","AF90H17D24SN","1.00","1332000.00","INDOOR","True"
"AF90H17D24SS","2","AF90H17D0QBX","1.00","888000.00","OUTDOOR","False"
"AF90H17D27GRS","1","AF90H17D27GN","1.00","1466000.00","INDOOR","True"
"AF90H17D27GRS","2","AF90H17D01BX","1.00","977000.00","OUTDOOR","False"
"AF90H17D27GRS","3","AR70H06D1A1Q","1.00","287000.00","ACCESSORY","False"
"AF90H17D27GS","1","AF90H17D27GN","1.00","1464000.00","INDOOR","True"
"AF90H17D27GS","2","AF90H17D01BX","1.00","976000.00","OUTDOOR","False"
"AF90H17D27SRS","1","AF90H17D27SN","1.00","1466000.00","INDOOR","True"
"AF90H17D27SRS","2","AF90H17D01BX","1.00","977000.00","OUTDOOR","False"
"AF90H17D27SRS","3","AR70H06D1A1Q","1.00","287000.00","ACCESSORY","False"
"AF90H17D27SS","1","AF90H17D27SN","1.00","1464000.00","INDOOR","True"
"AF90H17D27SS","2","AF90H17D01BX","1.00","976000.00","OUTDOOR","False"
"AF90H17D35ERS","1","AF90H17D35EN","1.00","1466000.00","INDOOR","True"
"AF90H17D35ERS","2","AF90H17D0QBX","1.00","977000.00","OUTDOOR","False"
"AF90H17D35ERS","3","AR70H06D1A1Q","1.00","287000.00","ACCESSORY","False"
"AF90H17D35ES","1","AF90H17D35EN","1.00","1464000.00","INDOOR","True"
"AF90H17D35ES","2","AF90H17D0QBX","1.00","976000.00","OUTDOOR","False"
"AF90H17D35WRS","1","AF90H17D35WN","1.00","1466000.00","INDOOR","True"
"AF90H17D35WRS","2","AF90H17D0QBX","1.00","977000.00","OUTDOOR","False"
"AF90H17D35WRS","3","AR70H06D1A1Q","1.00","287000.00","ACCESSORY","False"
